max buffer gets delta,max executions delta,max ELAPSED TIME DELTA ,max rows TIME DELTA ,max disk reads delta,max cpu TIME DELTA 
0,0,0,0,0,0
0,1,64412,0,0,46875
0,44,37738,44,0,31250
74,1,1990065,1,4,15625
31,10,4477,5,0,0
58,4,2093,25,0,0
21,4,2186929,126,5,0
6,1,6586643,3,0,0
148,29,9849,45,0,15625
3,1,2596,1,0,0
8,8,1385,8,0,15625
220,55,13486,55,0,15625
0,0,0,0,0,0
30,12,350845,2,1,15625
355,17,367806,107,184,15625
2328,197,8924512,578,738,125000
21231,1458,1007689,4905,24,640625
569200,1,54591342,0,7069,32828125
589,1,95767,1,16,46875
757,1,491982,1,45,109375
1229,583,1725674,8735,169,171875
1282,23,785753,574,38,0
10,4,57940,35,2,0
326,144,128055,0,8,0
6,2,1001,0,0,0
6,1,369185,8,0,343750
0,0,0,0,0,0
106,8,978871,27,34,0
25,25,885,0,0,0
95,4,27194,4,0,46875
25,7,6380,119,0,0
56,15,1426,13,0,0
25,25,2906,25,0,31250
0,0,0,0,0,0
46,8,77254,10,4,0
0,112,80780,2352,0,140625
50,2,55988,2,2,0
1891,676,89428,364,0,62500
242,9,52765,110,6,15625
0,0,0,0,0,0
128,1,22719,0,0,15625
0,1,538744,0,0,0
3,1,827,1,0,15625
6,1,1348201,1,0,15625
93,1,5913,112,0,15625
20,20,1081,0,0,0
0,3,13510,3,0,15625
28,4,2178,4,0,0
3,1,194,6,0,0
20,20,4419,20,0,0
0,73,46557,1533,0,109375
0,0,0,0,0,0
160,10,1932367,0,0,15625
90,1,6058,588,0,15625
0,12,54505,12,0,46875
24,6,4118,6,0,0
50,1,1397,3,0,0
0,1,111657,0,0,93750
0,4,269747,4,0,0
10,10,1073,0,0,0
8,1,291180,1,0,0
258,6,2367,234,0,0
262,88,14536,87,0,15625
0,91,28506,1274,0,31250
8,1,8200,64,0,15625
133,1,2783,66,0,15625
0,88,6040,0,0,0
6,1,3907,9,0,15625
109,9,3834,9,0,0
313,1,141444,920,0,46875
24,6,1484,6,0,0
3,1,43827,0,0,15625
18,9,554,0,0,0
0,91,25502,1274,0,15625
0,5,587,0,0,0
6,1,9601,1,0,15625
11,1,56377,1,0,0
10,10,1488,10,0,0
0,0,115,0,0,0
6,1,891456,8,0,375000
939,1,644103,1,3,93750
54,16,2935,16,0,15625
0,1,1052028,8,0,359375
0,88,566325,88,0,31250
0,4,4635,4,0,15625
6,1,197379,12,0,0
27,1,4408,74,0,15625
70,10,2113,0,0,0
1623,541,263648,6,0,62500
86,1,248928,62,0,0
10,1,2881,4,0,15625
18,1,320446,4,0,0
27,9,1228,0,0,0
0,0,0,0,0,0
6,1,1053106,8,0,359375
55,5,178575,5,0,15625
260,66,51060,66,3,31250
0,5,652,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
55,5,25842,5,0,31250
2016,672,279181,5,0,62500
70,10,109447,0,0,31250
18,1,122246,4,0,0
33,11,1909,0,0,15625
0,0,0,0,0,0
6,1,369482,8,0,375000
14,7,1328,0,0,0
6,2,368,0,0,0
17,124,8408,0,0,0
252,9,35947,117,5,31250
2810,2,150267,7,0,46875
28,4,2428,4,0,0
6,2,1251,2,0,15625
0,0,0,0,0,0
96,24,8131,24,0,0
77,11,3883,0,0,0
80,20,12041,20,0,0
70,1,22714,351,0,31250
103,1,86234,0,5,46875
730,195,33833,350,0,0
19,263,21937,0,0,31250
1280,312,86512,312,0,140625
543,108,20302,108,0,46875
0,0,0,0,0,0
2,2,322,0,0,0
96,8,9761,8,0,0
60,10,20205,0,0,15625
14,7,632,0,0,0
6,2,195,0,0,0
0,4,256059,4,0,15625
7,1,266,1,0,0
70,10,1752,0,0,0
0,5,697,5,0,0
0,0,0,0,0,0
88,22,4609,22,0,0
10,10,1547,10,0,0
600,1,2810885,0,7,218750
112,29,7424,29,0,0
0,83,3320,0,0,0
7,1,5738,1,0,15625
67,1,42665,55,3,15625
20,10,889,10,0,0
16,1,23082,0,0,0
870,1,3060339,1,0,46875
35,7,1786,7,0,0
8,4,327,4,0,0
4,1,97,1,0,0
0,0,0,0,0,0
168,14,6451,14,0,0
0,5,1197,0,0,0
128,1,10987,0,0,15625
25,25,884,0,0,0
6,2,377,17,0,0
25,25,2956,25,0,0
0,99,75050,2079,0,46875
108,1,408838,0,1,140625
11,1,7006,0,0,15625
72,1,11712,588,0,15625
116,10,3431,10,0,0
79,1,25371,535,0,15625
6,1,5411,1,0,15625
2,1,401,1,0,15625
6,2,686,2,0,15625
6,1,3228,12,0,15625
112,2,87868,2,0,46875
0,9,54564,9,0,15625
8,8,1032,8,0,0
55,1,5342,158,0,15625
0,83,4524,0,0,0
70,1,1664,4,0,0
24,6,6841,6,0,0
4,1,14347,1,0,0
0,0,0,0,0,0
0,1,65456,0,0,46875
0,3,27563,3,0,15625
68,1,460123,64,3,15625
40,1,1976,9,0,15625
251,83,15715,83,0,15625
8,1,179,3,0,0
23,1,195812,1,0,0
8,8,667,0,0,15625
0,3,151434,3,0,0
186,1,102261,720,0,0
3,1,884670,0,0,0
0,3,3396935,3,0,0
7,1,1083,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
6,2,598,2,0,31250
11,3,803,3,0,0
15,5,722,5,0,0
6,1,701869,8,0,406250
584,156,81399,280,0,31250
0,3,215386,3,0,0
872,1,212137,1,0,62500
0,3,1619368,3,0,15625
6,1,2526574,3,0,0
38,12,1423,9,0,15625
24,4,1266,4,0,0
0,3,608283,3,0,0
40,10,2528,10,0,0
1299,433,173442,4,0,15625
5039,1,1988400,0,0,125000
0,1,956383,8,0,453125
6,1,3472001,12,0,15625
18,1,1788873,4,0,0
